strikePrice,expiryDate,PE,CE
17650,28-Sep-2023,"{'strikePrice': 17650, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17650.00', 'openInterest': 102, 'changeinOpenInterest': 72, 'pchangeinOpenInterest': 240, 'totalTradedVolume': 272, 'impliedVolatility': 18.23, 'lastPrice': 6.05, 'change': -1.1000000000000005, 'pChange': -15.38461538461539, 'totalBuyQuantity': 42900, 'totalSellQuantity': 300, 'bidQty': 450, 'bidprice': 5.75, 'askQty': 300, 'askPrice': 9.8, 'underlyingValue': 19435.3}","{'strikePrice': 17650, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17650.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1928.8, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6050, 'totalSellQuantity': 4550, 'bidQty': 3250, 'bidprice': 1650.2, 'askQty': 2750, 'askPrice': 1955.1, 'underlyingValue': 19435.3}"
17700,28-Sep-2023,"{'strikePrice': 17700, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17700.00', 'openInterest': 664, 'changeinOpenInterest': 15, 'pchangeinOpenInterest': 2.3112480739599386, 'totalTradedVolume': 1662, 'impliedVolatility': 17.83, 'lastPrice': 6.1, 'change': -0.9500000000000002, 'pChange': -13.475177304964541, 'totalBuyQuantity': 49850, 'totalSellQuantity': 1550, 'bidQty': 900, 'bidprice': 5.65, 'askQty': 200, 'askPrice': 9.45, 'underlyingValue': 19435.3}","{'strikePrice': 17700, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17700.00', 'openInterest': 356, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1726.9, 'change': 6.7000000000000455, 'pChange': 0.3894895942332313, 'totalBuyQuantity': 4950, 'totalSellQuantity': 4900, 'bidQty': 50, 'bidprice': 1803.35, 'askQty': 50, 'askPrice': 1833.25, 'underlyingValue': 19435.3}"
17750,28-Sep-2023,"{'strikePrice': 17750, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17750.00', 'openInterest': 85, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 8.974358974358974, 'totalTradedVolume': 173, 'impliedVolatility': 17.77, 'lastPrice': 7, 'change': -0.7999999999999998, 'pChange': -10.256410256410255, 'totalBuyQuantity': 41350, 'totalSellQuantity': 3850, 'bidQty': 800, 'bidprice': 6.5, 'askQty': 1800, 'askPrice': 12.7, 'underlyingValue': 19435.3}","{'strikePrice': 17750, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17750.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1851.4, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6300, 'totalSellQuantity': 4800, 'bidQty': 1500, 'bidprice': 1599.3, 'askQty': 2750, 'askPrice': 1848.3, 'underlyingValue': 19435.3}"
17800,28-Sep-2023,"{'strikePrice': 17800, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17800.00', 'openInterest': 2422, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 0.041305245766212306, 'totalTradedVolume': 2944, 'impliedVolatility': 17.48, 'lastPrice': 7.4, 'change': -1.049999999999999, 'pChange': -12.426035502958568, 'totalBuyQuantity': 53450, 'totalSellQuantity': 4050, 'bidQty': 400, 'bidprice': 6.3, 'askQty': 300, 'askPrice': 8.9, 'underlyingValue': 19435.3}","{'strikePrice': 17800, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17800.00', 'openInterest': 219, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 6, 'impliedVolatility': 0, 'lastPrice': 1714.55, 'change': 89.75, 'pChange': 5.523756770064008, 'totalBuyQuantity': 6200, 'totalSellQuantity': 5800, 'bidQty': 50, 'bidprice': 1704.65, 'askQty': 50, 'askPrice': 1723.3, 'underlyingValue': 19435.3}"
17850,28-Sep-2023,"{'strikePrice': 17850, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17850.00', 'openInterest': 155, 'changeinOpenInterest': 6, 'pchangeinOpenInterest': 4.026845637583893, 'totalTradedVolume': 133, 'impliedVolatility': 17.36, 'lastPrice': 8.3, 'change': -1.5, 'pChange': -15.30612244897959, 'totalBuyQuantity': 46600, 'totalSellQuantity': 2050, 'bidQty': 400, 'bidprice': 7.65, 'askQty': 300, 'askPrice': 13.8, 'underlyingValue': 19435.3}","{'strikePrice': 17850, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17850.00', 'openInterest': 3, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 1560, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6050, 'totalSellQuantity': 4550, 'bidQty': 1500, 'bidprice': 1511.25, 'askQty': 1000, 'askPrice': 1741.5, 'underlyingValue': 19435.3}"
17900,28-Sep-2023,"{'strikePrice': 17900, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17900.00', 'openInterest': 2530, 'changeinOpenInterest': -502, 'pchangeinOpenInterest': -16.556728232189975, 'totalTradedVolume': 4908, 'impliedVolatility': 16.85, 'lastPrice': 8.1, 'change': -1.950000000000001, 'pChange': -19.402985074626873, 'totalBuyQuantity': 62450, 'totalSellQuantity': 5650, 'bidQty': 50, 'bidprice': 8.1, 'askQty': 50, 'askPrice': 10.85, 'underlyingValue': 19435.3}","{'strikePrice': 17900, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17900.00', 'openInterest': 352, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 0.2849002849002849, 'totalTradedVolume': 18, 'impliedVolatility': 0, 'lastPrice': 1603.6, 'change': 113.59999999999991, 'pChange': 7.624161073825498, 'totalBuyQuantity': 5850, 'totalSellQuantity': 6150, 'bidQty': 50, 'bidprice': 1610.05, 'askQty': 200, 'askPrice': 1621.2, 'underlyingValue': 19435.3}"
17950,28-Sep-2023,"{'strikePrice': 17950, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE17950.00', 'openInterest': 201, 'changeinOpenInterest': 37, 'pchangeinOpenInterest': 22.5609756097561, 'totalTradedVolume': 238, 'impliedVolatility': 16.75, 'lastPrice': 9.2, 'change': -2.1000000000000014, 'pChange': -18.58407079646019, 'totalBuyQuantity': 47850, 'totalSellQuantity': 9100, 'bidQty': 50, 'bidprice': 8.7, 'askQty': 50, 'askPrice': 9, 'underlyingValue': 19435.3}","{'strikePrice': 17950, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE17950.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6500, 'totalSellQuantity': 5000, 'bidQty': 1500, 'bidprice': 1489.05, 'askQty': 1000, 'askPrice': 1644.05, 'underlyingValue': 19435.3}"
18000,28-Sep-2023,"{'strikePrice': 18000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18000.00', 'openInterest': 53026, 'changeinOpenInterest': 290, 'pchangeinOpenInterest': 0.5499089805825242, 'totalTradedVolume': 22185, 'impliedVolatility': 16.27, 'lastPrice': 9.1, 'change': -3.5, 'pChange': -27.77777777777778, 'totalBuyQuantity': 103400, 'totalSellQuantity': 21100, 'bidQty': 500, 'bidprice': 9.2, 'askQty': 750, 'askPrice': 9.8, 'underlyingValue': 19435.3}","{'strikePrice': 18000, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18000.00', 'openInterest': 23840, 'changeinOpenInterest': -70, 'pchangeinOpenInterest': -0.2927645336679214, 'totalTradedVolume': 777, 'impliedVolatility': 0, 'lastPrice': 1524.55, 'change': 98.84999999999991, 'pChange': 6.933436206775613, 'totalBuyQuantity': 7800, 'totalSellQuantity': 6450, 'bidQty': 200, 'bidprice': 1517.35, 'askQty': 100, 'askPrice': 1525, 'underlyingValue': 19435.3}"
18050,28-Sep-2023,"{'strikePrice': 18050, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18050.00', 'openInterest': 130, 'changeinOpenInterest': 15, 'pchangeinOpenInterest': 13.043478260869565, 'totalTradedVolume': 471, 'impliedVolatility': 15.94, 'lastPrice': 9.4, 'change': -4.949999999999999, 'pChange': -34.49477351916376, 'totalBuyQuantity': 49450, 'totalSellQuantity': 13450, 'bidQty': 50, 'bidprice': 9.35, 'askQty': 100, 'askPrice': 9.45, 'underlyingValue': 19435.3}","{'strikePrice': 18050, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18050.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 5350, 'totalSellQuantity': 5350, 'bidQty': 200, 'bidprice': 1432.35, 'askQty': 150, 'askPrice': 1506.8, 'underlyingValue': 19435.3}"
18100,28-Sep-2023,"{'strikePrice': 18100, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023PE18100.00', 'openInterest': 5393, 'changeinOpenInterest': -1300, 'pchangeinOpenInterest': -19.423278051695803, 'totalTradedVolume': 6970, 'impliedVolatility': 15.51, 'lastPrice': 9.05, 'change': -4.25, 'pChange': -31.954887218045116, 'totalBuyQuantity': 65450, 'totalSellQuantity': 16150, 'bidQty': 450, 'bidprice': 9.6, 'askQty': 1550, 'askPrice': 9.65, 'underlyingValue': 19435.3}","{'strikePrice': 18100, 'expiryDate': '28-Sep-2023', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-09-2023CE18100.00', 'openInterest': 364, 'changeinOpenInterest': -9, 'pchangeinOpenInterest': -2.4128686327077746, 'totalTradedVolume': 20, 'impliedVolatility': 0, 'lastPrice': 1428.4, 'change': 106.90000000000009, 'pChange': 8.089292470677268, 'totalBuyQuantity': 7800, 'totalSellQuantity': 4800, 'bidQty': 400, 'bidprice': 1409.55, 'askQty': 700, 'askPrice': 1425.65, 'underlyingValue': 19435.3}"
